ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
lt_Watershed_9_Blackwood_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_9_Blackwood,2671.07,37575749,1406.767662,25040687,937.4777524,55070,20617.20584,24303.4,9098.750688,15332.4,5740.171542,0.193,12404.6,4.644056502,0.2847,4365.13428,1634.226838
lt_Watershed_11_General_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_11_General,1819.7,22100076,1214.490081,13898004,763.7524867,1229.8,675.8256856,814.5,447.601253,398.6,219.0470957,0.195,408.2,0.224322691,0.358,142.6988,78.41886025
lt_Watershed_12_Meeks_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_12_Meeks,1981.45,23568024,1189.433193,13200094,666.1835524,2214.2,1117.464483,401.7,202.7303238,267,134.7498044,0.102,157784.1,79.63062404,0.3068,81.9156,41.34124
lt_Watershed_14_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_14,246.15,2690698,1093.113142,1434456,582.7568556,25.6,104.001625,58.6,238.0662198,84.5,343.2866139,1.003,76.3,0.309973593,0.1494,12.6243,51.28702011
lt_Watershed_13_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_13,211.44,2173747,1028.06801,1448104,684.8770337,110.5,522.6068861,43.2,204.3132804,153.8,727.3931139,1,132,0.624290579,0.0938,14.42644,68.22947408
lt_Watershed_16_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_16,295.18,2955582,1001.281252,1545994,523.7461888,13.6,46.07358222,52.2,176.8412494,65.3,221.2209499,0.992,61.9,0.209702554,0.164,10.7092,36.28023579
lt_Watershed_15_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_15,149.32,1489562,997.5636218,769115,515.0783552,10.6,70.98848111,24.5,164.0771497,34.9,233.7262256,0.996,32.7,0.218992767,0.1557,5.43393,36.39117332
lt_Watershed_18_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_18,1647.08,20362331,1236.268487,10999784,667.8354421,2164.7,1314.265245,420.8,255.4824295,489.4,297.131894,0.189,97035859.6,58913.87158,0.2009,98.32046,59.69379751
lt_Watershed_17_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_17,386.9,3754816,970.4874645,1743773,450.7037994,43,111.1398294,62.1,160.5065909,101.3,261.8247609,0.963,91.8,0.237270613,0.1394,14.12122,36.49837167
lt_Watershed_19_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_19,845.73,10312303,1219.337495,5239886,619.5696026,1564,1849.289963,176.6,208.8136876,170.9,202.073948,0.098,206.3,0.243931278,0.2542,43.44278,51.36719757
lt_Watershed_1_SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,lt_Watershed_1,262.83,2411256,917.4203858,1230410,468.1391013,270,1027.279991,43.2,164.3647985,260,989.2325838,0.83,215,0.818019252,0.1233,32.058,121.9723776
lt_Watershed_2_SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,lt_Watershed_2,110.68,1032881,933.2137694,490644,443.2996025,14.7,132.8153235,10.4,93.96458258,25.1,226.779906,0.999,22.7,0.205095772,0.1334,3.34834,30.25243947
lt_Watershed_3_SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,lt_Watershed_3,188.22,1790664,951.3675486,890092,472.8997981,42.5,225.7995962,37.9,201.3601105,80.1,425.5658272,0.997,68.9,0.366060992,0.1374,11.00574,58.47274466
lt_Watershed_5_SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,lt_Watershed_5,268.63,2753813,1025.132338,1534853,571.3632133,294.6,1096.675725,53.9,200.6477311,338.2,1258.980754,0.971,278.5,1.036741987,0.1085,36.6947,136.5994118
lt_Watershed_4_SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,lt_Watershed_4,1345.08,13708196,1019.136111,7286537,541.7177417,1492.6,1109.673774,300.7,223.5554763,1562.8,1161.863978,0.872,1294.2,0.962173254,0.1208,188.78624,140.3531686
lt_Watershed_6_SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_landisFuels_obs_cli,lt_Watershed_6,122.51,1216674,993.1221941,710253,579.7510407,134.8,1100.318341,16.5,134.682883,162.8,1328.871113,1.076,134.5,1.097869562,0.0971,15.80788,129.033385
